OBJECTID_1,FID_Metrorail_Stations_Buffer,OBJECTID,NAME,STATION,NODE,YEAR_,GlobalID,CreationDa,Creator,EditDate,Editor,BUFF_DIST,ORIG_FID,FID_Current_Housing_Units,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC
25,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,70489,70490,0392 427A0202,444421,,1/1/2023,1,MP,35,1964,
26,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,77439,77440,0392 427A0102,447623,,1/1/2023,1,MP,35,1964,
27,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,77731,77732,0392 427A0201,453236,,1/1/2023,1,MP,35,1964,
28,23,323,TYSONS,0,0,2014,4e1e6eb2-d915-4cec-aab7-3f9c082b5aa6,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,22,79783,79784,0392 427A0101,448230,,1/1/2023,1,MP,35,1964,
29,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,90018,90019,0391 03 0030,557178,,1/1/2023,1,SF,11,1952,
30,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,102446,102447,0391 35 0028,308674,,1/1/2023,1,TH,31,1994,
31,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,65435,65436,0391 35 0027,188503,,1/1/2023,1,TH,31,1994,
32,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,138356,138357,0391 35 0026,379766,,1/1/2023,1,TH,31,1994,
33,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,63915,63916,0391 35 0015A,428282,,1/1/2023,1,TH,31,1994,
34,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,71635,71636,0391 35 0025,211904,,1/1/2023,1,TH,31,1994,
35,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,71634,71635,0391 35 0016,179705,,1/1/2023,1,TH,31,1994,
36,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,73217,73218,0391 35 0024,293170,,1/1/2023,1,TH,31,1994,
