OBJECTID_1,FID_Metrorail_Stations_Buffer,OBJECTID,NAME,STATION,NODE,YEAR_,GlobalID,CreationDa,Creator,EditDate,Editor,BUFF_DIST,ORIG_FID,FID_Current_Housing_Units,OBJECTID,PIN,PARCE_ID,VALID_FROM,VALID_TO,CURRE_UNIT,HOUSI_UNIT,LUC,YEAR_BUILT,STRUC_DESC
638,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,103625,103626,0293 21 0002,184377,,1/1/2023,1,TH,31,1982,
639,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,101267,101268,0293 21 0011,529744,,1/1/2023,1,TH,31,1984,
640,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,95315,95316,0293 21 0003,426147,,1/1/2023,1,TH,31,1982,
641,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,36768,36769,0293 21 0004,162301,,1/1/2023,1,TH,31,1982,
642,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,95316,95317,0293 21 0005,333782,,1/1/2023,1,TH,31,1982,
643,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,46073,46074,0294 04030106,452668,,1/1/2023,1,LR,41,1974,
644,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,46074,46075,0294 04030309,454098,,1/1/2023,1,LR,41,1974,
645,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,46604,46605,0294 04030202,447578,,1/1/2023,1,LR,41,1974,
646,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,46605,46606,0294 04030208,435809,,1/1/2023,1,LR,41,1974,
647,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,48891,48892,0294 04030201,452981,,1/1/2023,1,LR,41,1974,
648,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,48892,48893,0294 04030206,448364,,1/1/2023,1,LR,41,1974,
649,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,95250,95251,0294 04030314,444917,,1/1/2023,1,LR,41,1974,
650,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,96890,96891,0294 04030310,451340,,1/1/2023,1,LR,41,1974,
651,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,97666,97667,0294 04030315,391289,,1/1/2023,1,LR,41,1974,
652,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,99202,99203,0294 04030207,435735,,1/1/2023,1,LR,41,1974,
653,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,99629,99630,0294 04030210,447297,,1/1/2023,1,LR,41,1974,
654,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102303,102304,0294 04030205,447236,,1/1/2023,1,LR,41,1974,
655,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102304,102305,0294 04030209,451735,,1/1/2023,1,LR,41,1974,
656,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102305,102306,0294 04030302,445127,,1/1/2023,1,LR,41,1974,
657,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102306,102307,0294 04030306,454929,,1/1/2023,1,LR,41,1974,
658,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102307,102308,0294 04030311,414591,,1/1/2023,1,LR,41,1974,
659,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102578,102579,0294 04030107,445506,,1/1/2023,1,LR,41,1974,
660,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102579,102580,0294 04030215,449303,,1/1/2023,1,LR,41,1974,
661,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104476,104477,0294 04030105,453434,,1/1/2023,1,LR,41,1974,
662,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104477,104478,0294 04030213,451898,,1/1/2023,1,LR,41,1974,
663,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104478,104479,0294 04030303,453028,,1/1/2023,1,LR,41,1974,
664,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104479,104480,0294 04030304,451868,,1/1/2023,1,LR,41,1974,
665,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104480,104481,0294 04030313,449636,,1/1/2023,1,LR,41,1974,
666,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104919,104920,0294 04030109,449110,,1/1/2023,1,LR,41,1974,
667,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104920,104921,0294 04030110,453118,,1/1/2023,1,LR,41,1974,
668,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,107617,107618,0294 04030307,446448,,1/1/2023,1,LR,41,1974,
669,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,111923,111924,0294 04030204,447518,,1/1/2023,1,LR,41,1974,
670,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112677,112678,0294 04030114,444342,,1/1/2023,1,LR,41,1974,
671,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112678,112679,0294 04030211,435810,,1/1/2023,1,LR,41,1974,
672,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112679,112680,0294 04030301,444793,,1/1/2023,1,LR,41,1974,
673,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112680,112681,0294 04030305,452442,,1/1/2023,1,LR,41,1974,
674,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112876,112877,0294 04030101,454249,,1/1/2023,1,LR,41,1974,
675,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112877,112878,0294 04030102,450618,,1/1/2023,1,LR,41,1974,
676,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112878,112879,0294 04030103,444333,,1/1/2023,1,LR,41,1974,
677,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115981,115982,0294 04030111,451444,,1/1/2023,1,LR,41,1974,
678,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115982,115983,0294 04030112,449532,,1/1/2023,1,LR,41,1974,
679,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115983,115984,0294 04030212,454501,,1/1/2023,1,LR,41,1974,
680,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115984,115985,0294 04030312,444195,,1/1/2023,1,LR,41,1974,
681,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,117991,117992,0294 04030104,447838,,1/1/2023,1,LR,41,1974,
682,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,117992,117993,0294 04030113,453624,,1/1/2023,1,LR,41,1974,
683,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,117993,117994,0294 04030308,452372,,1/1/2023,1,LR,41,1974,
684,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,120813,120814,0294 04030108,450251,,1/1/2023,1,LR,41,1974,
685,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,124981,124982,0294 04030203,446240,,1/1/2023,1,LR,41,1974,
686,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,124982,124983,0294 04030214,445332,,1/1/2023,1,LR,41,1974,
687,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112875,112876,0294 04020103,449849,,1/1/2023,1,LR,41,1973,
688,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,124980,124981,0294 04020102,454782,,1/1/2023,1,LR,41,1973,
689,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,99781,99782,0293 21 0006,246778,,1/1/2023,1,TH,31,1983,
690,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,49105,49106,0293 24 0049,340935,,1/1/2023,1,TH,31,1995,
691,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,43925,43926,0293 21 0007,338535,,1/1/2023,1,TH,31,1983,
692,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,46075,46076,0294 04050102,435826,,1/1/2023,1,LR,41,1974,
693,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,46076,46077,0294 04050203,454351,,1/1/2023,1,LR,41,1974,
694,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,48893,48894,0294 04050111,447893,,1/1/2023,1,LR,41,1974,
695,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,48894,48895,0294 04050208,450308,,1/1/2023,1,LR,41,1974,
696,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,48895,48896,0294 04050209,449560,,1/1/2023,1,LR,41,1974,
697,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,95251,95252,0294 04050313,447640,,1/1/2023,1,LR,41,1974,
698,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,96891,96892,0294 04050101,452613,,1/1/2023,1,LR,41,1974,
699,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,96892,96893,0294 04050109,454857,,1/1/2023,1,LR,41,1974,
700,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,97667,97668,0294 04050305,447592,,1/1/2023,1,LR,41,1974,
701,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,97668,97669,0294 04050310,445919,,1/1/2023,1,LR,41,1974,
702,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,99203,99204,0294 04050302,451708,,1/1/2023,1,LR,41,1974,
703,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,99288,99289,0294 04050311,454864,,1/1/2023,1,LR,41,1974,
704,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,99630,99631,0294 04050303,448055,,1/1/2023,1,LR,41,1974,
705,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,100925,100926,0294 04050103,445572,,1/1/2023,1,LR,41,1974,
706,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,100926,100927,0294 04050104,455050,,1/1/2023,1,LR,41,1974,
707,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,100927,100928,0294 04050301,452339,,1/1/2023,1,LR,41,1974,
708,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102308,102309,0294 04050205,447132,,1/1/2023,1,LR,41,1974,
709,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102309,102310,0294 04050210,455662,,1/1/2023,1,LR,41,1974,
710,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,102580,102581,0294 04050315,425106,,1/1/2023,1,LR,41,1974,
711,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104481,104482,0294 04050113,451981,,1/1/2023,1,LR,41,1974,
712,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104482,104483,0294 04050213,455316,,1/1/2023,1,LR,41,1974,
713,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104483,104484,0294 04050309,454169,,1/1/2023,1,LR,41,1974,
714,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,104921,104922,0294 04050211,453789,,1/1/2023,1,LR,41,1974,
715,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,107618,107619,0294 04050214,445783,,1/1/2023,1,LR,41,1974,
716,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,107619,107620,0294 04050215,453633,,1/1/2023,1,LR,41,1974,
717,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,111924,111925,0294 04050307,446948,,1/1/2023,1,LR,41,1974,
718,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,111925,111926,0294 04050308,449251,,1/1/2023,1,LR,41,1974,
719,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112681,112682,0294 04050304,445677,,1/1/2023,1,LR,41,1974,
720,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112879,112880,0294 04050107,452512,,1/1/2023,1,LR,41,1974,
721,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112880,112881,0294 04050110,450451,,1/1/2023,1,LR,41,1974,
722,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,112881,112882,0294 04050202,448786,,1/1/2023,1,LR,41,1974,
723,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115985,115986,0294 04050108,446289,,1/1/2023,1,LR,41,1974,
724,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115986,115987,0294 04050112,448475,,1/1/2023,1,LR,41,1974,
725,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115987,115988,0294 04050204,445474,,1/1/2023,1,LR,41,1974,
726,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115988,115989,0294 04050207,448468,,1/1/2023,1,LR,41,1974,
727,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,115989,115990,0294 04050312,453347,,1/1/2023,1,LR,41,1974,
728,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,117994,117995,0294 04050105,430847,,1/1/2023,1,LR,41,1974,
729,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,117995,117996,0294 04050114,453834,,1/1/2023,1,LR,41,1974,
730,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,122621,122622,0294 04050212,452511,,1/1/2023,1,LR,41,1974,
731,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,124983,124984,0294 04050201,450383,,1/1/2023,1,LR,41,1974,
732,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,162510,162511,0294 04050314,445724,,1/1/2023,1,LR,41,1974,
733,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,101269,101270,0293 24 0048,425435,,1/1/2023,1,TH,31,1995,
734,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,120118,120119,0293 21 0008,392527,,1/1/2023,1,TH,31,1983,
735,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,116743,116744,0293 24 0047,273842,,1/1/2023,1,TH,31,1995,
736,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,43926,43927,0293 21 0009,425776,,1/1/2023,1,TH,31,1983,
737,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,120119,120120,0293 24 0046,574712,,1/1/2023,1,TH,31,1995,
738,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,49101,49102,0293 21 0010,148511,,1/1/2023,1,TH,31,1983,
739,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,99785,99786,0293 24 0045,277136,,1/1/2023,1,TH,31,1995,
740,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,103050,103051,0293 24 0044,175295,,1/1/2023,1,TH,31,1995,
741,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,95323,95324,0293 24 0043,575081,,1/1/2023,1,TH,31,1995,
742,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,106061,106062,0293 24 0050,574711,,1/1/2023,1,TH,31,1995,
743,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,45230,45231,0293 24 0042,574325,,1/1/2023,1,TH,31,1995,
744,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,49103,49104,0293 24 0028,138439,,1/1/2023,1,TH,31,1995,
745,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,115484,115485,0293 24 0051,409084,,1/1/2023,1,TH,31,1995,
746,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,101270,101271,0293 24 0052,387729,,1/1/2023,1,TH,31,1995,
747,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,111413,111414,0293 24 0029,178984,,1/1/2023,1,TH,31,1995,
748,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,120624,120625,0293 24 0053,384030,,1/1/2023,1,TH,31,1995,
749,24,324,GREENSBORO,0,0,2014,732d7bff-3f82-40bd-89ca-8311ea5faeae,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,23,95322,95323,0293 24 0030,321413,,1/1/2023,1,TH,31,1995,
750,21,321,MCLEAN,0,0,2014,0684a575-e679-4375-ac14-f49a80e0f8f8,4/7/2024,FairfaxCounty,4/7/2024,FairfaxCounty,2639.99472,20,32633,32634,0303 27120213,447281,,1/1/2023,1,LR,41,1974,
