ACCT,Steet Name,City,ZIP,Licence Type,Lic Status,Point X,Point Y
1366602,Lombardy,SILV,20901,RLU,AP,"1,308,714.00","497,989.00"
880220,Tuckerman,POTO,20854,ACC,EX,"1,259,573.00","503,529.00"
3446,Griffith,LAYT,20882,RLU,AP,"1,282,007.00","570,212.00"
733152,Patuxent,ASHT,20861,ACC,LI,"1,316,720.00","538,370.00"
3097031,Bluebell,OLNE,20832,RLU,AP,"1,283,671.00","541,407.00"
1090120,First,SILV,20910,ACC,LI,"1,302,051.00","485,998.00"
100543,Raymond,POTO,20854,ACC3,LI,"1,263,715.00","500,902.00"
U 474660,Maple,BETH,20814,ACC3,LI,"1,285,903.00","482,617.00"
285420,Naglee,SILV,20903,RLU,AP,"1,317,049.00","495,539.00"
1536907,Dustin,BURT,20866,RLU,AP,"1,335,348.00","530,299.00"
1080917,Carroll,TAKO,20912,ACC,EX,"1,311,887.00","479,209.00"
1182960,Newport Mill,SILV,20902,RLU,AP,"1,294,042.00","502,036.00"
871828,Charred Oak,BETH,20817,RLU,AP,"1,265,716.00","487,753.00"
2224387,Ednor,SILV,20905,RLU,AP,"1,312,376.00","535,130.00"
2338768,Snowy Owl,SILV,20901,RLU,AP,"1,309,487.00","496,282.00"
439521,Park,BETH,20816,ACC,LI,"1,285,175.00","469,432.00"
2798626,Davis Mill,GERM,20874,RLU,AP,"1,247,349.00","569,441.00"
3125813,Dufief Mill,NO P,20878,RLU,PE,"1,248,202.00","521,755.00"
693000,Falmouth,BETH,20816,RLU,AP,"1,282,121.00","469,458.00"
2449463,Randolph,ROCK,20852,RLU,AP,"1,284,798.00","505,324.00"
260544,Spencerville,SPEN,20868,ACC,LI,"1,321,426.00","527,731.00"
1589381,Sweepstakes,DAMA,20872,RLU,AP,"1,251,254.00","580,514.00"
2468648,Chrisman Hill,BOYD,20841,ACC,LI,"1,227,323.00","558,137.00"
1068447,Flower,TAKO,20912,ACC,EX,"1,312,927.00","479,870.00"
2870643,Palatine,POTO,20854,RLU,AP,"1,245,299.00","508,657.00"
947815,Moyer,DAMA,20872,ACC3,FC,"1,255,092.00","582,503.00"
1910436,Blue Valley,SILV,20904,ACC,LI,"1,321,740.00","511,197.00"
2753743,Hunting Hill,NPOT,20878,RLU,AP,"1,241,283.00","514,976.00"
3248652,Primrose,CHEV,20815,RLU,AP,"1,290,550.00","476,541.00"
333743,Eastbourne,SILV,20904,ACC,EX,"1,315,713.00","507,874.00"
1823817,Gold Mine,BRKV,20833,RLU,AP,"1,304,581.00","550,103.00"
304488,Quaint Acres,SILV,20904,RLU,AP,"1,312,699.00","503,010.00"
495685,Hampden,BETH,20814,RLU,AP,"1,279,900.00","482,631.00"
555654,Acacia,BETH,20814,ACC,LI,"1,281,986.00","487,922.00"
1294054,Dameron,SILV,20902,ACC,EX,"1,302,707.00","492,824.00"
529314,Rosedale,BETH,20814,ACC3,FC,"1,285,438.00","482,867.00"
1755677,Mineral Springs,GAIT,20877,ACC,PE,"1,266,691.00","541,108.00"
1141798,Parkwood,BETH,20814,ACC,LI,"1,284,655.00","494,247.00"
869858,Carteret,BETH,20817,ACC,PE,"1,267,223.00","487,875.00"
1884894,Partnership,POOL,20837,RLU,AP,"1,204,858.00","529,682.00"
2999114,Barnesville,BOYD,20841,RLU,AP,"1,217,073.00","557,784.00"
3061722,Cervantes,DARN,20874,RLU,AP,"1,229,014.00","520,754.00"
2809710,High Meadow,NPOT,20878,RLU,AP,"1,237,466.00","519,192.00"
21126,Prices Distillery,CLAR,20871,RLU,PE,"1,235,532.00","593,074.00"
2130437,Braemar Crescent,DARN,20878,RLU,AP,"1,231,228.00","521,851.00"
1827473,Canal Vista,POTO,20854,ACC3,LI,"1,232,221.00","505,311.00"
3361086,Ashleigh Greene,BOYD,20841,RLU,AP,"1,228,145.00","543,787.00"
3197951,Mt Prospect,ROCK,20850,ACC3,FD,"1,242,438.00","514,135.00"
2336075,Cloverdale,GERM,20874,RLU,PE,"1,232,796.00","557,145.00"
577024,Lindale,BETH,20817,ACC,EX,"1,278,271.00","489,822.00"
3395800,Quince Orchard,NPOT,20878,RLU,AP,"1,240,376.00","523,167.00"
2738645,Turley,NO P,20878,RLU,AP,"1,240,669.00","523,836.00"
2968682,Morning Star,GERM,20876,RLU,AP,"1,241,828.00","565,258.00"
2492295,Mc Donald Chapel,GAIT,20878,RLU,PE,"1,240,529.00","529,698.00"
1080850,Ritchie,SILV,20910,RLU,AP,"1,309,481.00","480,388.00"
949107,Bellehaven,DAMA,20872,RLU,AP,"1,248,742.00","582,658.00"
879391,Alloway,POTO,20854,RLU,PE,"1,248,289.00","488,872.00"
2980902,Martins Dairy,OLNE,20832,RLU,AP,"1,291,074.00","533,538.00"
814373,Parkridge,GAIT,20878,RLU,AP,"1,244,311.00","539,727.00"
1681122,Treva,GERM,20876,RLU,AP,"1,247,634.00","561,405.00"
913068,Falls Bridge,POTO,20854,ACC,LI,"1,252,629.00","489,750.00"
942460,Haney,DAMA,20872,RLU,PE,"1,247,300.00","593,255.00"
3072428,Flanagan,GERM,20876,RLU,AP,"1,247,991.00","549,396.00"
3506731,Ridge,DAMA,20872,RLU,AP,"1,248,494.00","580,051.00"
1589984,Sweepstakes,DAMA,20872,RLU,AP,"1,250,648.00","580,785.00"
1782410,Donovan,GAIT,20879,ACC,EX,"1,249,479.00","546,864.00"
847497,Brickyard,POTO,20854,RLU,AP,"1,248,233.00","485,749.00"
2655414,Watts Mine,POTO,20854,RLU,AP,"1,253,670.00","486,338.00"
897880,Edge Park,POTO,20854,RLU,AP,"1,254,414.00","505,158.00"
2762350,Newbridge,POTO,20854,RLU,AP,"1,257,870.00","489,822.00"
3011944,Sweetwood,ROCK,20850,RLU,PE,"1,251,028.00","517,143.00"
2650401,Preakness,DAMA,20872,RLU,AP,"1,249,329.00","579,683.00"
2926346,Pennywise,GAIT,20877,ACC3,LI,"1,256,912.00","544,025.00"
2653927,Avenel Farm,POTO,20854,RLU,AP,"1,255,852.00","486,492.00"
1369478,Cable,KENS,20895,ACC,PE,"1,287,894.00","490,815.00"
1339437,Havard,SILV,20906,ACC,PE,"1,288,368.00","508,111.00"
1261167,Spruell,KENS,20895,ACC,LI,"1,289,656.00","499,858.00"
2164738,Cashell,ROCK,20853,ACC,LI,"1,288,901.00","533,484.00"
628636,Cedar,BETH,20814,ACC,LI,"1,286,362.00","489,277.00"
1144702,Thornwood,KENS,20895,ACC,PE,"1,287,635.00","493,364.00"
1172835,Sigsbee,SILV,20906,RLU,PE,"1,287,200.00","505,319.00"
628578,Cedar,BETH,20814,ACC,LI,"1,286,364.00","489,191.00"
1343417,Conger,SILV,20906,ACC,LI,"1,288,628.00","507,443.00"
1869490,Norwood,CHEV,20815,ACC3,LI,"1,286,054.00","476,723.00"
458320,Lenox,CHEV,20815,RLU,AP,"1,288,717.00","475,146.00"
467984,Windsor,CHEV,20815,ACC,EX,"1,291,902.00","480,090.00"
628157,Parkhill,BETH,20814,ACC,LI,"1,287,324.00","488,214.00"
1374624,London,ROCK,20853,ACC,LI,"1,289,669.00","517,240.00"
1157670,Colston,CHEV,20815,ACC3,LI,"1,297,006.00","482,777.00"
1922024,Baileys,SILV,20906,ACC,LI,"1,295,518.00","525,214.00"
701464,Georgia,BRKV,20833,RLU,AP,"1,294,772.00","552,754.00"
1137205,Jennings,KENS,20895,RLU,PE,"1,293,820.00","496,814.00"
3288921,Georgia,BRKV,20833,ACC,LI,"1,294,769.00","553,623.00"
1458028,Heritage,SILV,20906,RLU,AP,"1,296,519.00","517,381.00"
1317282,Estelle,SILV,20906,RLU,AP,"1,293,609.00","511,467.00"
1415394,Layhill,SILV,20906,ACC,LI,"1,299,076.00","509,750.00"
967130,Glenhaven,SILV,20902,ACC,LI,"1,300,120.00","499,300.00"
1149271,Dennis,SILV,20901,RLU,AP,"1,304,606.00","494,006.00"
1090107,Lanier,SILV,20910,ACC,LI,"1,299,840.00","487,402.00"
1101086,Haywood,SILV,20902,RLU,AP,"1,297,246.00","493,946.00"
1175202,Henderson,WHEA,20902,RLU,PE,"1,297,610.00","504,152.00"
1395397,Yates,SILV,20902,RLU,AP,"1,301,499.00","501,779.00"
1002835,Wilton,SILV,20910,RLU,AP,"1,295,350.00","489,757.00"
1268671,Bucknell,WHEA,20902,ACC,LI,"1,299,177.00","499,969.00"
528684,Rosedale,BETH,20814,ACC3,FD,"1,286,402.00","482,899.00"
1347643,Osborn,SILV,20910,ACC,LI,"1,298,960.00","489,749.00"
260943,Johnson,SILV,20905,RLU,AP,"1,306,678.00","524,985.00"
1113200,Forest Grove,SILV,20902,ACC3,FC,"1,301,723.00","493,516.00"
1393423,Channing,SILV,20902,ACC,LI,"1,300,698.00","501,907.00"
1070042,Maple,TAKO,20912,ACC,EX,"1,309,129.00","478,025.00"
1337440,Forest Glen,SILV,20910,ACC,LI,"1,300,459.00","491,222.00"
1106396,Greenock,SILV,20901,ACC,EX,"1,306,061.00","492,311.00"
1075237,Boston,TAKO,20912,ACC,EX,"1,307,659.00","479,670.00"
956433,Springvale,SILV,20910,RLU,AP,"1,305,749.00","485,742.00"
281980,Old Orchard,SILV,20905,ACC3,FD,"1,308,537.00","531,413.00"
1069180,Hodges,TAKO,20912,ACC,EX,"1,308,324.00","479,536.00"
1099244,Douglas,SILV,20902,ACC3,LI,"1,299,126.00","494,289.00"
376467,Springloch,SILV,20904,ACC,PE,"1,305,598.00","508,539.00"
1225810,Fairly,SILV,20906,ACC3,FC,"1,291,215.00","507,451.00"
1312198,Ferrara,SILV,20906,ACC,EX,"1,289,699.00","504,793.00"
3188318,Wintersweet,ROCK,20853,RLU,AP,"1,289,558.00","526,838.00"
541191,Chase,BETH,20814,ACC,LI,"1,286,549.00","481,877.00"
1242893,Everton,WHEA,20906,RLU,AP,"1,291,082.00","506,935.00"
1249677,Huggins,SILV,20902,ACC,EX,"1,291,142.00","503,279.00"
1151775,Hillridge,KENS,20895,ACC3,PE,"1,292,899.00","491,090.00"
1786873,Cherokee,OLNE,20832,RLU,AP,"1,290,634.00","537,537.00"
1386520,Oakvale,ROCK,20853,ACC,EX,"1,286,501.00","517,924.00"
