GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330800517,2020,800517,11813306,29644,Census Tract 8005.17,38.912238,-76.7643572,5394,351,4603,9,167,0,33,231,228,24,23,8,0,0,81,92,5622
G2400330800518,2020,800518,12780376,191351,Census Tract 8005.18,38.929507,-76.7691425,3988,309,3349,1,119,2,39,169,188,11,24,7,1,0,77,68,4176
G2400330800519,2020,800519,3127539,0,Census Tract 8005.19,38.9266468,-76.7247516,3716,718,2550,5,214,0,14,215,278,21,30,7,3,0,133,84,3994
G2400330800520,2020,800520,645338,0,Census Tract 8005.20,38.9394397,-76.722106,2299,113,2027,3,51,0,14,91,141,16,31,0,3,0,45,46,2440
G2400330800521,2020,800521,10295901,29564,Census Tract 8005.21,38.889193,-76.7802285,7633,194,7042,7,127,0,37,226,252,19,66,7,0,0,94,66,7885
G2400330800522,2020,800522,4746178,3012,Census Tract 8005.22,38.8843063,-76.7487053,3735,75,3448,4,46,0,6,156,106,21,25,0,0,0,21,39,3841
G2400330800605,2020,800605,24369187,741705,Census Tract 8006.05,38.7982387,-76.7484697,4579,452,3883,9,51,2,24,158,288,43,46,0,2,0,132,65,4867
G2400330800606,2020,800606,2008020,74554,Census Tract 8006.06,38.8278223,-76.7622344,4649,228,4159,14,37,3,16,192,129,7,36,5,0,0,52,29,4778
G2400330800607,2020,800607,16425298,148319,Census Tract 8006.07,38.8552574,-76.7754842,5876,286,5243,11,116,1,24,195,324,31,49,9,0,0,119,116,6200
G2400330800608,2020,800608,11747379,98431,Census Tract 8006.08,38.8558523,-76.7424353,7933,259,7184,3,162,7,39,279,279,13,95,4,2,0,72,93,8212
G2400330800609,2020,800609,15788737,214224,Census Tract 8006.09,38.8418527,-76.7119581,3344,276,2880,16,32,5,19,116,311,13,51,20,0,0,174,53,3655
G2400330800701,2020,800701,27397345,56491,Census Tract 8007.01,38.8401423,-76.8240372,8297,379,7365,15,136,5,47,350,505,54,84,3,1,1,177,185,8802
G2400330800704,2020,800704,8596603,0,Census Tract 8007.04,38.7781062,-76.7828533,5194,455,4446,15,50,0,45,183,212,29,43,6,2,0,51,81,5406
G2400330800705,2020,800705,9282814,38181,Census Tract 8007.05,38.761088,-76.7865355,4074,352,3473,18,38,0,23,170,162,18,26,4,0,0,51,63,4236
G2400330800706,2020,800706,11530097,28423,Census Tract 8007.06,38.7764948,-76.8169711,3724,207,3270,1,63,7,38,138,287,12,46,8,0,1,139,81,4011
G2400330800707,2020,800707,15718743,14570,Census Tract 8007.07,38.805245,-76.7912595,3305,410,2634,23,51,2,29,156,312,23,24,7,3,0,206,49,3617
G2400330800800,2020,800800,106692248,4690419,Census Tract 8008,38.7107792,-76.7300104,3113,1601,1221,10,33,2,24,222,333,31,7,9,0,0,182,104,3446
G2400330800900,2020,800900,79975256,6133908,Census Tract 8009,38.6048461,-76.7242704,1495,744,636,13,15,0,4,83,131,9,0,6,0,0,77,39,1626
G2400330801003,2020,801003,61935778,457953,Census Tract 8010.03,38.6794572,-76.8631539,5595,741,4373,52,143,3,28,255,414,36,53,9,1,0,217,98,6009
G2400330801004,2020,801004,36523559,219049,Census Tract 8010.04,38.7250838,-76.8513765,5288,660,4216,18,99,0,26,269,437,44,56,2,0,3,193,139,5725
G2400330801005,2020,801005,5191942,4858,Census Tract 8010.05,38.7565957,-76.835778,4034,315,3454,10,83,2,23,147,183,18,25,2,0,2,60,76,4217
G2400330801006,2020,801006,2737389,0,Census Tract 8010.06,38.7571595,-76.8230132,3679,259,3189,4,49,2,21,155,251,18,34,5,0,0,121,73,3930
G2400330801105,2020,801105,3358082,3015,Census Tract 8011.05,38.8072697,-76.8897501,1144,615,312,7,93,10,7,100,223,56,18,6,0,0,68,75,1367
G2400330801106,2020,801106,14701872,88621,Census Tract 8011.06,38.8098033,-76.8691578,1417,740,456,15,61,4,7,134,257,75,10,9,4,1,59,99,1674
G2400330801207,2020,801207,8131945,4918,Census Tract 8012.07,38.7540356,-76.8669781,4016,321,3420,13,103,0,18,141,706,42,39,9,2,0,332,282,4722
G2400330801208,2020,801208,3621794,1980,Census Tract 8012.08,38.7471805,-76.8905647,4119,167,3709,2,84,0,35,122,314,15,35,13,0,2,153,96,4433
G2400330801209,2020,801209,2920232,1098,Census Tract 8012.09,38.7344628,-76.903318,4202,159,3732,8,121,0,34,148,321,6,36,2,1,0,159,117,4523
G2400330801210,2020,801210,5310881,54112,Census Tract 8012.10,38.7684717,-76.9235417,3746,200,3229,15,116,0,31,155,507,14,32,4,2,0,318,137,4253
G2400330801211,2020,801211,3195061,4422,Census Tract 8012.11,38.7827065,-76.9058928,2828,231,2314,8,137,0,17,121,425,43,16,4,4,0,254,104,3253
G2400330801212,2020,801212,2704359,0,Census Tract 8012.12,38.7925306,-76.9156495,2831,193,2449,12,55,2,17,103,506,45,23,12,0,0,358,68,3337
G2400330801213,2020,801213,5093436,0,Census Tract 8012.13,38.7747752,-76.9393047,3121,205,2707,3,92,0,18,96,767,74,20,18,4,4,515,132,3888
G2400330801214,2020,801214,6260363,13919,Census Tract 8012.14,38.7923197,-76.8505009,3476,469,2767,19,63,0,38,120,758,32,23,36,0,0,507,160,4234
G2400330801215,2020,801215,6869303,27963,Census Tract 8012.15,38.7650152,-76.8483924,2567,158,2221,13,60,2,27,86,293,28,19,5,2,0,171,68,2860
G2400330801216,2020,801216,8030098,50027,Census Tract 8012.16,38.7523033,-76.9148895,3304,277,2800,19,68,2,18,120,420,22,21,16,4,0,262,95,3724
G2400330801217,2020,801217,4048877,6648,Census Tract 8012.17,38.7651558,-76.890362,3529,279,2972,6,130,0,18,124,398,64,21,39,0,0,198,76,3927
G2400330801302,2020,801302,28253212,3439815,Census Tract 8013.02,38.6741134,-77.0360274,2532,968,1241,17,114,0,26,166,320,31,11,10,0,0,206,62,2852
G2400330801305,2020,801305,8108884,13185,Census Tract 8013.05,38.7642507,-76.9718128,5145,342,4139,3,392,3,77,189,998,96,37,29,10,0,601,225,6143
G2400330801307,2020,801307,8707342,3220994,Census Tract 8013.07,38.7318678,-77.0086623,3308,313,2531,4,299,3,31,127,447,36,25,12,0,0,252,122,3755
G2400330801308,2020,801308,2606256,0,Census Tract 8013.08,38.7161564,-77.0005143,3327,180,2619,3,349,0,26,150,434,40,32,5,0,0,258,99,3761
G2400330801309,2020,801309,7559948,8605317,Census Tract 8013.09,38.7102524,-77.0317003,3227,646,2171,5,178,4,36,187,378,36,29,13,0,3,175,122,3605
G2400330801310,2020,801310,25301636,85943,Census Tract 8013.10,38.6633112,-76.9831879,6534,700,5164,18,322,3,39,288,524,41,57,11,3,0,287,125,7058
G2400330801311,2020,801311,36270792,44428,Census Tract 8013.11,38.7120864,-76.9495856,7739,606,6363,18,305,11,66,370,561,46,77,8,1,0,276,153,8300
G2400330801312,2020,801312,6335934,7813,Census Tract 8013.12,38.7183053,-76.9768917,3250,310,2524,8,264,1,34,109,690,41,34,13,10,0,422,170,3940
G2400330801313,2020,801313,5332934,13666,Census Tract 8013.13,38.745892,-76.9832014,2654,213,2119,8,217,4,8,85,575,55,21,3,1,0,405,90,3229
G2400330801404,2020,801404,5234235,5410539,Census Tract 8014.04,38.7909435,-77.0222938,5469,939,3647,7,529,1,70,276,1116,116,48,31,2,0,678,241,6585
G2400330801405,2020,801405,3422708,13230,Census Tract 8014.05,38.7978743,-76.9902698,2890,267,1871,2,569,5,41,135,1975,137,22,16,2,0,1488,310,4865
G2400330801406,2020,801406,4130673,18602,Census Tract 8014.06,38.7771595,-76.9800136,2901,133,2537,24,81,4,8,114,315,14,10,0,0,3,226,62,3216
G2400330801407,2020,801407,5883982,5770,Census Tract 8014.07,38.792036,-76.949994,5372,264,4689,16,194,0,47,162,1203,90,23,56,1,0,825,208,6575
G2400330801408,2020,801408,2658399,0,Census Tract 8014.08,38.7998494,-76.9634017,3015,107,2746,12,69,1,3,77,314,19,24,6,0,0,204,61,3329
G2400330801409,2020,801409,2885713,1062,Census Tract 8014.09,38.7901087,-76.9821766,2023,122,1622,2,181,4,10,82,696,56,13,23,0,0,494,110,2719
G2400330801410,2020,801410,3030512,2681738,Census Tract 8014.10,38.7564194,-77.023794,2844,293,1989,5,425,0,24,108,572,69,17,6,4,3,327,146,3416
G2400330801411,2020,801411,3579498,4375,Census Tract 8014.11,38.7700808,-77.001109,2696,206,1903,5,481,8,17,76,663,69,23,6,4,0,394,167,3359
G2400330801500,2020,801500,3945056,1080225,Census Tract 8015,38.8034632,-77.0119692,1835,104,1566,4,71,7,18,65,845,53,17,7,2,0,653,113,2680
G2400330801600,2020,801600,549276,0,Census Tract 8016,38.8203631,-76.9964504,2493,31,2334,13,9,0,14,92,561,30,20,8,0,1,430,72,3054
G2400330801701,2020,801701,2167949,0,Census Tract 8017.01,38.8066469,-76.9437236,3931,160,3572,15,53,0,18,113,510,56,23,3,0,0,337,91,4441
G2400330801702,2020,801702,1381131,0,Census Tract 8017.02,38.8103778,-76.9586498,3635,144,3318,2,48,1,12,110,349,23,26,4,2,1,212,81,3984
G2400330801704,2020,801704,2343124,0,Census Tract 8017.04,38.8234411,-76.9807272,5024,61,4745,11,52,4,26,125,482,11,46,30,0,0,319,76,5506
G2400330801707,2020,801707,2089822,0,Census Tract 8017.07,38.8130945,-76.9848028,4542,157,4159,6,67,2,30,121,2340,106,33,34,5,0,1912,250,6882
G2400330801709,2020,801709,2961507,0,Census Tract 8017.09,38.8189496,-76.9628854,4468,157,4007,19,118,3,24,140,1109,47,34,42,3,0,820,163,5577
G2400330801801,2020,801801,659344,0,Census Tract 8018.01,38.8291686,-76.947898,1782,58,1660,0,10,0,10,44,218,15,13,2,0,0,148,40,2000
G2400330801802,2020,801802,1076605,0,Census Tract 8018.02,38.8348674,-76.950463,3613,82,3360,11,43,0,15,102,283,12,17,7,0,0,182,65,3896
G2400330801807,2020,801807,2950589,8754,Census Tract 8018.07,38.8364528,-76.9705827,4317,63,4109,8,30,0,23,84,240,18,34,15,0,0,124,49,4557
