GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330803509,2020,803509,2213317,3091,Census Tract 8035.09,38.9336796,-76.8810467,3384,82,2917,8,239,0,15,123,791,37,30,18,3,0,573,130,4175
G2400330803512,2020,803512,5431364,1371,Census Tract 8035.12,38.8768597,-76.8295131,6337,169,5738,12,136,1,42,239,374,27,57,13,0,0,159,118,6711
G2400330803513,2020,803513,2498646,0,Census Tract 8035.13,38.8866395,-76.8264489,4733,63,4396,13,53,0,26,182,161,5,32,2,2,0,64,56,4894
G2400330803514,2020,803514,4372813,48135,Census Tract 8035.14,38.9042525,-76.8387812,5218,161,4745,9,80,0,36,187,218,14,96,2,3,0,39,64,5436
G2400330803516,2020,803516,3707676,31589,Census Tract 8035.16,38.9536716,-76.8174928,4620,231,3973,2,208,0,25,181,267,7,40,9,4,0,158,49,4887
G2400330803519,2020,803519,3215196,13055,Census Tract 8035.19,38.8973034,-76.8585764,5848,159,5356,23,57,1,44,208,364,29,60,14,0,2,153,106,6212
G2400330803520,2020,803520,6995243,20636,Census Tract 8035.20,38.941721,-76.821443,4051,222,3557,15,94,1,15,147,300,11,32,11,0,0,173,73,4351
G2400330803521,2020,803521,5128656,27505,Census Tract 8035.21,38.9245604,-76.8374179,7281,575,6172,4,236,2,32,260,311,18,44,2,0,3,151,93,7592
G2400330803524,2020,803524,2777550,1046,Census Tract 8035.24,38.9008183,-76.8775964,4349,58,4100,9,53,0,21,108,342,8,43,11,0,0,177,103,4691
G2400330803525,2020,803525,2424091,14743,Census Tract 8035.25,38.9096918,-76.8719606,2273,29,2156,2,21,0,15,50,81,21,16,1,0,0,23,20,2354
G2400330803526,2020,803526,2317195,15200,Census Tract 8035.26,38.8844633,-76.8055873,3384,56,3173,3,38,0,10,104,112,4,25,3,0,0,64,16,3496
G2400330803527,2020,803527,1620534,9878,Census Tract 8035.27,38.8973278,-76.8189558,2945,58,2761,1,42,1,12,70,98,0,32,2,1,0,35,28,3043
G2400330803528,2020,803528,5638715,110887,Census Tract 8035.28,38.9122985,-76.8159207,7148,152,6562,21,166,1,30,216,248,13,58,0,0,4,93,80,7396
G2400330803601,2020,803601,2332859,0,Census Tract 8036.01,38.9398413,-76.8471941,3082,29,2872,3,75,0,16,87,581,28,12,21,2,0,394,124,3663
G2400330803602,2020,803602,3453464,0,Census Tract 8036.02,38.9418591,-76.8672051,1760,15,1672,1,5,0,5,62,460,30,6,17,0,0,338,69,2220
G2400330803605,2020,803605,3107315,0,Census Tract 8036.05,38.9692863,-76.8834453,3701,543,2698,4,264,2,51,139,3763,203,74,148,9,0,2508,821,7464
G2400330803606,2020,803606,3319248,0,Census Tract 8036.06,38.9724116,-76.8587387,3579,587,2536,5,263,0,40,148,2588,171,34,153,0,0,1837,393,6167
