GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330806900,2000,806900,1716969,0,Census Tract 8069,39012509,-76918881,3446,2458,606,17,294,0,7,64,418,152,6,2,0,0,223,35,3864
G2400330807000,2000,807000,3916876,4761,Census Tract 8070,38999193,-76926189,4402,2969,789,23,508,1,6,106,253,125,11,1,1,0,79,36,4655
G2400330807102,2000,807102,3541082,63501,Census Tract 8071.02,38972442,-76929157,2182,1592,402,9,132,0,6,41,223,95,2,3,0,0,111,12,2405
G2400330807200,2000,807200,5481460,0,Census Tract 8072,38988720,-76938972,11121,8051,1747,15,1112,1,23,172,470,176,19,4,15,0,224,32,11591
G2400330807301,2000,807301,3827416,0,Census Tract 8073.01,39007559,-76946609,2983,1765,535,7,564,2,8,102,124,61,7,0,1,0,44,11,3107
G2400330807304,2000,807304,1832682,0,Census Tract 8073.04,39024059,-76960633,1468,736,546,5,133,1,13,34,251,87,11,0,0,0,133,20,1719
G2400330807305,2000,807305,3126631,0,Census Tract 8073.05,39014804,-76962994,2685,760,1381,3,429,2,18,92,869,263,26,3,0,0,476,101,3554
G2400330807404,2000,807404,6664803,0,Census Tract 8074.04,39039859,-76905016,4264,2608,1019,15,513,3,10,96,494,178,16,4,1,0,254,41,4758
G2400330807405,2000,807405,7094119,0,Census Tract 8074.05,39035159,-76925778,4509,3239,737,13,395,5,3,117,295,132,5,5,0,0,135,18,4804
G2400330807406,2000,807406,3742403,0,Census Tract 8074.06,39039826,-76946779,6311,1764,3379,9,879,8,56,216,820,283,58,5,5,0,408,61,7131
G2400330807407,2000,807407,6591363,0,Census Tract 8074.07,39058142,-76933404,4256,1993,1537,9,576,1,11,129,338,157,24,1,1,0,126,29,4594
G2400330807408,2000,807408,28257152,0,Census Tract 8074.08,39032219,-76883766,5162,3252,1330,18,417,1,10,134,222,128,17,2,4,0,57,14,5384
