GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330801104,2000,801104,17732809,0,Census Tract 8011.04,38820546,-76883341,7234,4890,1756,44,244,9,30,261,691,285,49,7,7,0,259,84,7925
G2400330801202,2000,801202,11781999,37641,Census Tract 8012.02,38758614,-76902512,6750,1640,4772,41,173,0,5,119,111,43,16,1,0,0,39,12,6861
G2400330801203,2000,801203,8801928,0,Census Tract 8012.03,38780314,-76909859,6618,1285,4918,29,239,1,9,137,161,56,27,1,2,0,57,18,6779
G2400330801204,2000,801204,7469571,0,Census Tract 8012.04,38787814,-76921888,6867,1305,5215,18,190,4,8,127,176,35,59,0,0,0,72,10,7043
G2400330801205,2000,801205,13668925,0,Census Tract 8012.05,38780464,-76857763,5599,1813,3497,25,128,1,10,125,128,57,16,0,0,0,42,13,5727
G2400330801206,2000,801206,6475538,0,Census Tract 8012.06,38737365,-76897174,7273,914,6049,26,131,0,16,137,136,46,54,1,4,1,21,9,7409
G2400330801207,2000,801207,8646903,0,Census Tract 8012.07,38757065,-76875236,4394,1135,3052,19,121,2,7,58,71,26,8,1,0,0,25,11,4465
G2400330801301,2000,801301,62725209,0,Census Tract 8013.01,38684416,-76981242,8116,2346,5152,28,383,3,9,195,188,64,37,3,4,0,65,15,8304
G2400330801302,2000,801302,28467510,2611819,Census Tract 8013.02,38677040,-77035145,2468,1555,754,16,78,1,3,61,45,24,10,2,0,3,5,1,2513
G2400330801305,2000,801305,8156078,0,Census Tract 8013.05,38762372,-76972136,4810,596,3897,23,210,1,9,74,90,5,31,2,0,0,46,6,4900
G2400330801306,2000,801306,11443273,0,Census Tract 8013.06,38730701,-76983492,6229,1231,4322,26,502,3,25,120,142,55,25,4,10,0,27,21,6371
G2400330801307,2000,801307,8841316,2854929,Census Tract 8013.07,38740206,-77005009,3342,514,2419,15,320,1,5,68,89,29,13,4,0,0,36,7,3431
G2400330801308,2000,801308,2482294,0,Census Tract 8013.08,38718015,-76998578,3661,352,2817,16,385,4,7,80,51,25,11,0,0,0,9,6,3712
G2400330801309,2000,801309,7795920,8334118,Census Tract 8013.09,38716748,-77016906,3165,1186,1776,6,127,0,5,65,74,43,13,0,0,0,7,11,3239
G2400330801402,2000,801402,5312704,0,Census Tract 8014.02,38794163,-76977133,5925,683,4922,19,186,8,15,92,85,9,32,0,0,1,37,6,6010
G2400330801403,2000,801403,6451317,2749440,Census Tract 8014.03,38765614,-77016150,6204,787,4340,9,915,8,19,126,175,40,26,0,4,0,85,20,6379
G2400330801404,2000,801404,5395682,5074466,Census Tract 8014.04,38786128,-77008863,4529,749,3098,12,549,2,15,104,106,43,20,2,7,0,22,12,4635
G2400330801405,2000,801405,3339417,0,Census Tract 8014.05,38795963,-76990796,3938,753,2588,13,471,6,15,92,108,28,16,13,0,0,40,11,4046
G2400330801406,2000,801406,4193930,0,Census Tract 8014.06,38776964,-76982446,3100,208,2725,22,82,3,3,57,40,5,7,1,0,1,18,8,3140
G2400330801407,2000,801407,5991777,0,Census Tract 8014.07,38789280,-76956166,6098,563,5246,17,138,1,10,123,134,29,28,0,0,0,46,31,6232
G2400330801500,2000,801500,4115676,762563,Census Tract 8015,38810313,-77000866,2544,322,2082,3,79,9,5,44,76,23,8,0,1,0,40,4,2620
G2400330801600,2000,801600,512600,0,Census Tract 8016,38819713,-76996186,2907,37,2823,0,14,1,1,31,54,8,14,2,0,0,23,7,2961
G2400330801701,2000,801701,2141774,0,Census Tract 8017.01,38808535,-76943475,4290,440,3720,8,58,7,12,45,243,55,40,1,5,5,120,17,4533
G2400330801702,2000,801702,1287787,0,Census Tract 8017.02,38811313,-76953619,3302,240,2983,7,32,0,7,33,92,17,25,1,0,0,43,6,3394
G2400330801704,2000,801704,2323666,0,Census Tract 8017.04,38826052,-76981287,4882,120,4663,14,20,0,0,65,66,7,34,1,0,0,14,10,4948
G2400330801706,2000,801706,1289724,0,Census Tract 8017.06,38822463,-76958037,1912,157,1704,5,19,0,0,27,26,2,8,2,0,0,8,6,1938
G2400330801707,2000,801707,2159150,0,Census Tract 8017.07,38811113,-76985468,6234,207,5833,8,82,7,2,95,92,15,28,2,3,0,17,27,6326
G2400330801708,2000,801708,1818457,0,Census Tract 8017.08,38814192,-76966839,3689,256,3330,4,52,2,4,41,57,2,32,0,1,0,19,3,3746
G2400330801801,2000,801801,667588,0,Census Tract 8018.01,38831713,-76948701,2065,99,1913,4,20,0,1,28,34,5,17,0,0,0,6,6,2099
G2400330801802,2000,801802,1069071,0,Census Tract 8018.02,38834813,-76952263,4078,227,3782,2,18,0,2,47,55,19,14,1,0,0,13,8,4133
G2400330801804,2000,801804,798313,0,Census Tract 8018.04,38841012,-76958107,2092,124,1928,1,7,0,4,28,30,12,6,0,0,0,5,7,2122
G2400330801805,2000,801805,691963,0,Census Tract 8018.05,38846027,-76955379,2285,89,2147,4,13,0,3,29,25,0,6,1,0,0,13,5,2310
G2400330801807,2000,801807,2890233,0,Census Tract 8018.07,38839694,-76968948,4666,88,4500,4,13,0,4,57,51,7,28,0,1,0,7,8,4717
G2400330801808,2000,801808,1087266,0,Census Tract 8018.08,38833063,-76964208,3653,196,3389,7,6,0,4,51,33,5,16,0,0,1,1,10,3686
G2400330801901,2000,801901,4417302,0,Census Tract 8019.01,38809729,-76925856,4629,1053,3386,16,83,8,4,79,77,35,15,5,0,0,17,5,4706
G2400330801902,2000,801902,5688121,0,Census Tract 8019.02,38836113,-76939420,7290,387,6712,18,58,1,6,108,102,16,25,1,0,4,37,19,7392
G2400330801904,2000,801904,3702072,0,Census Tract 8019.04,38812163,-76904299,3184,610,2429,17,74,1,4,49,171,59,13,3,0,0,78,18,3355
G2400330801905,2000,801905,4728530,12201,Census Tract 8019.05,38824113,-76902582,3376,618,2590,13,103,2,4,46,49,26,8,0,0,0,9,6,3425
G2400330801906,2000,801906,1799098,0,Census Tract 8019.06,38829513,-76890403,2332,607,1610,12,34,1,4,64,47,22,9,0,0,0,12,4,2379
G2400330802001,2000,802001,1880267,0,Census Tract 8020.01,38838063,-76917704,5474,220,5113,13,32,1,2,93,121,40,27,4,0,0,41,9,5595
G2400330802002,2000,802002,1862825,0,Census Tract 8020.02,38850479,-76916315,3742,184,3449,8,52,0,2,47,194,105,15,3,1,0,56,14,3936
G2400330802103,2000,802103,1835739,0,Census Tract 8021.03,38849062,-76890741,2916,454,2359,7,39,2,5,50,54,9,15,0,0,0,20,10,2970
G2400330802104,2000,802104,1811110,0,Census Tract 8021.04,38841118,-76879476,2055,242,1763,6,20,1,1,22,40,1,13,0,0,0,19,7,2095
G2400330802105,2000,802105,1946121,0,Census Tract 8021.05,38840763,-76899378,8590,119,8223,40,39,2,9,158,145,14,80,0,0,0,43,8,8735
G2400330802201,2000,802201,6765239,0,Census Tract 8022.01,38853895,-76847249,2040,528,1436,18,13,1,9,35,56,15,7,0,2,0,31,1,2096
G2400330802203,2000,802203,3940442,0,Census Tract 8022.03,38854912,-76875189,4733,600,3974,11,59,4,5,80,58,3,21,0,0,0,23,11,4791
G2400330802204,2000,802204,7892080,0,Census Tract 8022.04,38868612,-76866954,5475,350,5000,15,27,0,1,82,49,15,11,0,1,0,12,10,5524
G2400330802301,2000,802301,1638548,0,Census Tract 8023.01,38857762,-76891643,3700,482,3090,10,45,0,5,68,29,8,8,0,0,0,11,2,3729
G2400330802403,2000,802403,1863887,0,Census Tract 8024.03,38861962,-76909146,5762,279,5320,6,53,2,15,87,91,19,30,0,0,0,34,8,5853
G2400330802404,2000,802404,847899,0,Census Tract 8024.04,38863812,-76890481,4486,92,4298,11,13,1,4,67,38,10,10,0,0,0,6,12,4524
G2400330802405,2000,802405,3806943,0,Census Tract 8024.05,38860112,-76927717,4254,118,4075,8,9,0,5,39,31,11,11,0,0,0,7,2,4285
G2400330802406,2000,802406,935883,0,Census Tract 8024.06,38855579,-76925200,2403,98,2263,6,17,1,4,14,32,6,16,0,0,0,4,6,2435
G2400330802501,2000,802501,878336,0,Census Tract 8025.01,38865464,-76940033,3505,111,3322,16,12,0,1,43,36,9,10,6,0,0,10,1,3541
G2400330802502,2000,802502,1033621,0,Census Tract 8025.02,38869362,-76933390,2960,88,2827,10,5,0,6,24,55,24,22,0,0,0,6,3,3015
G2400330802600,2000,802600,927747,0,Census Tract 8026,38875662,-76923785,3283,124,3063,18,27,5,8,38,31,5,9,0,0,0,12,5,3314
G2400330802700,2000,802700,1099443,0,Census Tract 8027,38885012,-76914394,2646,164,2421,12,11,0,8,30,23,3,9,0,0,0,5,6,2669
G2400330802803,2000,802803,4297094,0,Census Tract 8028.03,38876548,-76904909,4787,129,4561,12,8,0,4,73,36,5,18,1,1,0,9,2,4823
G2400330802804,2000,802804,5274375,0,Census Tract 8028.04,38877679,-76878095,6108,84,5904,16,15,0,5,84,47,2,28,3,0,0,4,10,6155
G2400330802805,2000,802805,1912446,0,Census Tract 8028.05,38895412,-76890123,4777,70,4643,7,7,0,0,50,24,0,9,0,0,0,12,3,4801
G2400330802901,2000,802901,1919996,0,Census Tract 8029.01,38894362,-76905658,4221,89,4076,4,15,0,1,36,29,2,14,0,0,0,8,5,4250
G2400330803001,2000,803001,1213374,0,Census Tract 8030.01,38902011,-76913011,2912,25,2822,4,6,0,4,51,22,6,8,1,0,0,7,0,2934
G2400330803002,2000,803002,900602,0,Census Tract 8030.02,38904711,-76896333,2928,22,2855,7,4,3,8,29,19,5,7,0,0,0,5,2,2947
G2400330803100,2000,803100,2253418,0,Census Tract 8031,38909611,-76918657,2522,42,2431,11,2,1,3,32,45,12,12,0,0,0,15,6,2567
G2400330803200,2000,803200,1572097,0,Census Tract 8032,38922911,-76894454,3005,52,2903,9,6,0,6,29,46,1,15,0,0,0,24,6,3051
G2400330803300,2000,803300,2794663,0,Census Tract 8033,38919111,-76887849,4550,120,4362,5,17,0,7,39,69,25,14,2,0,0,20,8,4619
G2400330803401,2000,803401,501480,0,Census Tract 8034.01,38922444,-76872881,1421,31,1377,3,1,0,0,9,3,0,1,1,0,0,0,1,1424
G2400330803402,2000,803402,1386688,0,Census Tract 8034.02,38916011,-76872925,4711,58,4560,6,16,0,0,71,33,4,23,0,0,1,3,2,4744
G2400330803505,2000,803505,3839171,0,Census Tract 8035.05,38891770,-76811187,6544,299,6031,17,89,0,20,88,58,13,24,0,0,0,11,10,6602
G2400330803508,2000,803508,2192137,0,Census Tract 8035.08,38929511,-76863306,4929,44,4725,24,47,1,2,86,122,34,17,0,0,8,29,34,5051
G2400330803509,2000,803509,2297630,0,Census Tract 8035.09,38931911,-76876835,2947,39,2794,4,17,0,11,82,106,32,25,0,0,0,36,13,3053
G2400330803512,2000,803512,5495096,0,Census Tract 8035.12,38875561,-76830918,4078,234,3732,5,31,3,11,62,68,14,28,0,1,0,16,9,4146
G2400330803513,2000,803513,2398503,0,Census Tract 8035.13,38885627,-76825443,4210,111,4002,6,34,0,2,55,52,0,31,0,0,0,14,7,4262
G2400330803514,2000,803514,4444216,0,Census Tract 8035.14,38905027,-76839688,2687,50,2554,15,14,0,9,45,49,6,17,2,0,0,16,8,2736
G2400330803515,2000,803515,5629358,142224,Census Tract 8035.15,38906129,-76816858,7191,239,6694,10,134,3,4,107,99,14,59,1,6,0,14,5,7290
G2400330803516,2000,803516,3748842,0,Census Tract 8035.16,38949700,-76810931,3139,596,2217,10,201,0,8,107,116,35,22,0,1,0,35,23,3255
G2400330803517,2000,803517,11893703,0,Census Tract 8035.17,38930035,-76827703,6031,944,4730,11,186,5,12,143,78,26,16,1,0,0,18,17,6109
