X,Y,NAME,WEB_URL,LINE,ADDRESS,TRAININFO_URL,GIS_ID,GLOBALID
-77.05028003,38.90070579,Foggy Bottom-GWU,https://www.wmata.com/rider-guide/stations/foggy-bottom.cfm,"blue, orange, silver",2301 I STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#C04|Foggy Bottom-GWU,MetroStnPt_21,{47FA2B04-8812-4792-BA6D-B7852C1C6726}
-76.94674999,38.89919901,Minnesota Ave,https://www.wmata.com/rider-guide/stations/minnesota-ave.cfm,orange,400 MINNESOTA AVENUE NE,https://www.wmata.com/js/nexttrain/nexttrain.html#D09|Minnesota Ave,MetroStnPt_22,{97E82A85-1491-4C3A-9A2D-EA2CFEF08950}
-77.02191767,38.8983246,Gallery Pl-Chinatown,https://www.wmata.com/rider-guide/stations/gallery-place.cfm,"red, green, yellow",630 H STREET NW,"https://www.wmata.com/js/nexttrain/nexttrain.html#B01,F01|Gallery Pl-Chinatown",MetroStnPt_23,{BA678B62-E9CF-44E7-BF7B-52694B31CA14}
-77.02808028,38.89832226,Metro Center,https://www.wmata.com/rider-guide/stations/metro-center.cfm,"red, blue, orange, silver",607 13TH STREET NW,"https://www.wmata.com/js/nexttrain/nexttrain.html#A01,C01|Metro Center",MetroStnPt_24,{FD98768C-31A3-4D8B-9B44-385BC5395F8E}
-77.00741657,38.89777383,Union Station,https://www.wmata.com/rider-guide/stations/union-station.cfm,red,701 1ST STREET NE,https://www.wmata.com/js/nexttrain/nexttrain.html#B03|Union%20Station,MetroStnPt_25,{CFFDA30A-AED7-4EA7-9D01-06CF55825FC0}
-77.01664124,38.8960981,Judiciary Sq,https://www.wmata.com/rider-guide/stations/judiciary-sq.cfm,red,450 F STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#B02|Judiciary Square,MetroStnPt_26,{359D2D63-82AA-4975-8257-B3195DDE14F2}
-77.02191667,38.89367301,Archives-Navy Mem'l,https://www.wmata.com/rider-guide/stations/archives.cfm,"green, yellow",701 PENNSYLVANIA AVENUE NW,https://www.wmata.com/js/nexttrain/nexttrain.html#F02|Archives-Navy Memorial-Penn Quarter,MetroStnPt_27,{86D5BEBD-232C-4DFC-B801-140A64501628}
-77.02813428,38.89318866,Federal Triangle,https://www.wmata.com/rider-guide/stations/federal-triangle.cfm,"blue, orange, silver",302 12TH STREET NW,https://www.wmata.com/js/nexttrain/nexttrain.html#D01|Federal Triangle,MetroStnPt_28,{665ACFE8-FB9D-4B02-93BD-B22E7CF6088F}
-76.93836713,38.89098346,Benning Road,https://www.wmata.com/rider-guide/stations/benning-rd.cfm,"blue, silver",4500 BENNING ROAD NE,https://www.wmata.com/js/nexttrain/nexttrain.html#G01|Benning Road,MetroStnPt_29,{0DA81ECE-F8EB-462E-8266-198904F00F96}
-77.02806852,38.88802649,Smithsonian,https://www.wmata.com/rider-guide/stations/smithsonian.cfm,"blue, orange, silver",1200 INDEPENDENCE AVENUE SW,https://www.wmata.com/js/nexttrain/nexttrain.html#D02|Smithsonian,MetroStnPt_30,{32205E38-F5C9-4A51-978D-F3588662B98C}
-76.97709117,38.88671688,Stadium Armory,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,"blue, orange, silver",192 19TH STREET SE,https://www.wmata.com/rider-guide/stations/stadium-armory.cfm,MetroStnPt_31,{EC50EECF-AB43-4AF1-AC92-18B8BFAA87C1}
-77.0158705,38.88508014,Federal Center SW,https://www.wmata.com/rider-guide/stations/federal-ctr-sw.cfm,"blue, orange, silver",401 3RD STREET SW,https://www.wmata.com/js/nexttrain/nexttrain.html#D04|Federal Center SW,MetroStnPt_32,{DA4243E0-B96D-494D-B7F8-EE6917C9B749}
-77.0051417,38.88507028,Capitol South,https://www.wmata.com/rider-guide/stations/capitol-south.cfm,"blue, orange, silver",355 1ST STREET SE,https://www.wmata.com/js/nexttrain/nexttrain.html#D05|Capitol South,MetroStnPt_33,{348B35F9-1880-4E4C-B86D-A8C43256EBFA}
-77.02191077,38.88484551,L'Enfant Plaza,https://www.wmata.com/rider-guide/stations/lenfant-plaza.cfm,"green, yellow, orange, blue, silver",600 MARYLAND AVENUE SW,"https://www.wmata.com/js/nexttrain/nexttrain.html#F03,D03|L'Enfant Plaza",MetroStnPt_34,{7871ACA3-9773-4098-BBC8-B46215E93440}
-76.9960034,38.88463005,Eastern Market,https://www.wmata.com/rider-guide/stations/eastern-market.cfm,"blue, orange, silver",701 PENNSYLVANIA AVENUE SE,https://www.wmata.com/js/nexttrain/nexttrain.html#D06|Eastern Market,MetroStnPt_35,{07BD794B-4298-4E9C-9B6F-9E82C6587B68}
-76.98549759,38.88127106,Potomac Ave,https://www.wmata.com/rider-guide/stations/potomac-ave.cfm,"blue, orange, silver",700 14TH STREET SE,https://www.wmata.com/js/nexttrain/nexttrain.html#D07|Potomac Ave,MetroStnPt_36,{0AC6D579-02B5-4635-B34C-171A7EA85F66}
-77.00508793,38.87648887,Navy Yard - Ballpark,https://www.wmata.com/rider-guide/stations/navy-yard.cfm,green,200 M STREET SE,https://www.wmata.com/js/nexttrain/nexttrain.html#F05|Navy Yard-Ballpark,MetroStnPt_37,{07B7A460-483E-42E6-A275-511E32B210F5}
-77.01750749,38.87646965,Waterfront,https://www.wmata.com/rider-guide/stations/waterfront.cfm,green,399 M STREET SW,https://www.wmata.com/js/nexttrain/nexttrain.html#F04|Waterfront,MetroStnPt_38,{E082182B-919E-4457-A2E9-76A0FEF0D2C5}
-76.99537301,38.8629709,Anacostia,https://www.wmata.com/rider-guide/stations/anacostia.cfm,green,1101 HOWARD ROAD SE,https://www.wmata.com/js/nexttrain/nexttrain.html#F06|Anacostia,MetroStnPt_39,{73E9DF18-BAFD-4420-9DF8-ACC325949ABC}
-76.9885142,38.84566548,Congress Heights,https://www.wmata.com/rider-guide/stations/congress-hghts.cfm,green,1290 ALABAMA AVENUE SE,https://www.wmata.com/js/nexttrain/nexttrain.html#F07|Congress Heights,MetroStnPt_40,{0A34BDD5-6ECD-4E16-AE93-9C83F10D67BF}
