GISJOIN,YEAR,TRACTA,AREALAND,AREAWATR,NAME,INTPTLAT,INTPTLON,Total_Not_Hispanic,White,Black,NA,Asian,PI,Other,Two_Plus,Total_Hispanic,Hispanic_White,Hispanic_Black,Hispanic_NA,Hispanic_Asian,Hispanic_PI,Hispanic_Other,Hispanic_Two_Plus,Total
G2400330800606,2010,800606,2007618,74555,Census Tract 8006.06,38.8277728,-76.762364,4598,342,4090,12,51,3,3,97,110,18,48,1,1,0,26,16,4708
G2400330800607,2010,800607,16414823,148319,Census Tract 8006.07,38.8552572,-76.7754844,5698,383,5119,7,76,0,12,101,184,33,68,2,1,0,61,19,5882
G2400330800608,2010,800608,11750273,98431,Census Tract 8006.08,38.8548774,-76.7422883,3510,135,3183,11,89,2,11,79,45,14,15,0,1,0,7,8,3555
G2400330800701,2010,800701,27642167,56491,Census Tract 8007.01,38.8401479,-76.8240487,5201,432,4555,11,62,0,12,129,193,62,28,5,0,0,81,17,5394
G2400330800704,2010,800704,8604211,0,Census Tract 8007.04,38.7781094,-76.7828611,4685,614,3827,20,74,3,9,138,132,39,34,3,1,0,28,27,4817
G2400330800705,2010,800705,9284023,38181,Census Tract 8007.05,38.7610914,-76.7865392,4111,528,3340,29,63,2,3,146,102,31,28,0,1,0,30,12,4213
G2400330800706,2010,800706,11527902,28423,Census Tract 8007.06,38.776445,-76.8170861,3417,299,2971,4,53,3,8,79,133,39,35,0,0,1,43,15,3550
G2400330800707,2010,800707,15468826,18925,Census Tract 8007.07,38.805245,-76.7912595,2761,546,2096,17,37,5,1,59,79,24,24,2,1,0,23,5,2840
G2400330800800,2010,800800,106853970,4515194,Census Tract 8008,38.71083,-76.7299412,3417,2024,1212,30,30,1,17,103,122,42,5,1,0,0,60,14,3539
G2400330800900,2010,800900,79973757,6145645,Census Tract 8009,38.6047116,-76.7242053,1676,845,769,11,8,0,0,43,22,17,0,1,0,0,4,0,1698
G2400330801003,2010,801003,61950088,460346,Census Tract 8010.03,38.6776797,-76.8640234,3491,1006,2273,37,88,1,1,85,116,33,18,2,0,0,42,21,3607
G2400330801004,2010,801004,36455292,266431,Census Tract 8010.04,38.725076,-76.8514,3928,831,2927,18,71,0,3,78,213,42,26,2,2,0,118,23,4141
G2400330801005,2010,801005,5202389,4858,Census Tract 8010.05,38.7550547,-76.8365774,3654,469,2992,19,57,2,11,104,65,25,24,0,0,0,10,6,3719
G2400330801006,2010,801006,2735435,0,Census Tract 8010.06,38.7571643,-76.8230205,3727,450,3081,20,64,3,5,104,161,57,45,0,1,0,47,11,3888
G2400330801104,2010,801104,17920492,91637,Census Tract 8011.04,38.8098033,-76.8691578,2556,1664,637,10,70,16,16,143,417,177,26,6,3,0,117,88,2973
G2400330801207,2010,801207,8134960,4918,Census Tract 8012.07,38.7540318,-76.866987,4168,558,3366,10,141,1,4,88,264,102,27,1,1,0,119,14,4432
G2400330801208,2010,801208,3620854,1980,Census Tract 8012.08,38.746847,-76.8906971,3505,239,3091,7,67,2,5,94,139,41,27,0,0,1,58,12,3644
G2400330801209,2010,801209,2920234,1098,Census Tract 8012.09,38.7344628,-76.903318,4143,242,3718,5,88,3,7,80,218,53,39,1,0,0,99,26,4361
G2400330801210,2010,801210,5307426,55694,Census Tract 8012.10,38.7684717,-76.9235417,3915,302,3388,24,110,1,13,77,188,52,39,3,1,0,80,13,4103
G2400330801211,2010,801211,3189889,4422,Census Tract 8012.11,38.7827065,-76.9058928,2988,399,2378,14,125,0,2,70,200,66,18,1,2,0,97,16,3188
G2400330801212,2010,801212,2811387,0,Census Tract 8012.12,38.7929783,-76.9151888,2869,311,2443,2,58,0,4,51,222,88,10,4,0,0,111,9,3091
G2400330801213,2010,801213,5093512,0,Census Tract 8012.13,38.7747754,-76.9393046,3492,257,3027,12,116,0,9,71,333,85,15,0,3,0,201,29,3825
G2400330801214,2010,801214,6298805,13919,Census Tract 8012.14,38.7981493,-76.8459415,3733,815,2750,19,49,2,8,90,262,76,23,1,0,0,117,45,3995
G2400330801215,2010,801215,6858853,27963,Census Tract 8012.15,38.764819,-76.8485431,2221,256,1840,4,61,0,2,58,165,73,17,6,0,0,59,10,2386
G2400330801216,2010,801216,8029459,50027,Census Tract 8012.16,38.7523069,-76.9148974,3231,395,2689,18,54,0,6,69,194,64,16,8,0,0,89,17,3425
G2400330801217,2010,801217,4050399,6648,Census Tract 8012.17,38.765167,-76.8903638,3434,417,2819,6,115,1,7,69,202,57,18,0,0,0,115,12,3636
G2400330801302,2010,801302,28209445,3439816,Census Tract 8013.02,38.6741134,-77.0360274,2600,1221,1166,19,117,0,0,77,134,42,12,3,0,0,70,7,2734
G2400330801305,2010,801305,8109252,13186,Census Tract 8013.05,38.7637386,-76.9711857,5159,346,4404,15,249,4,13,128,410,130,49,3,5,0,202,21,5569
G2400330801307,2010,801307,8704481,3220993,Census Tract 8013.07,38.7343272,-77.0103867,3500,387,2773,11,256,0,7,66,168,84,16,1,5,0,50,12,3668
G2400330801308,2010,801308,2604521,0,Census Tract 8013.08,38.7161558,-77.0005236,3362,246,2679,5,337,1,1,93,218,62,29,0,0,0,101,26,3580
G2400330801309,2010,801309,7558465,8605314,Census Tract 8013.09,38.7102524,-77.0317003,3283,736,2245,4,141,2,20,135,125,53,22,0,0,0,28,22,3408
G2400330801310,2010,801310,25327074,91218,Census Tract 8013.10,38.6633097,-76.983195,5832,965,4316,14,384,1,4,148,311,87,86,1,5,0,101,31,6143
G2400330801311,2010,801311,36293423,44972,Census Tract 8013.11,38.7120918,-76.9495857,5532,642,4579,17,178,3,8,105,189,33,46,1,0,3,81,25,5721
G2400330801312,2010,801312,6341221,8232,Census Tract 8013.12,38.7183047,-76.976892,3439,432,2630,14,249,1,15,98,318,88,33,5,1,0,155,36,3757
G2400330801313,2010,801313,5332941,13666,Census Tract 8013.13,38.7430503,-76.9817003,2907,290,2290,4,249,0,8,66,233,69,8,0,5,0,135,16,3140
G2400330801404,2010,801404,5208668,5474185,Census Tract 8014.04,38.7850686,-77.0163609,4394,625,3147,4,485,2,18,113,418,103,45,1,9,0,208,52,4812
G2400330801405,2010,801405,3422481,13230,Census Tract 8014.05,38.7986763,-76.9896732,3398,363,2286,17,634,0,4,94,847,249,30,4,5,0,506,53,4245
G2400330801406,2010,801406,4131794,18602,Census Tract 8014.06,38.7771595,-76.9800136,2607,147,2313,11,73,3,5,55,161,39,24,0,0,0,82,16,2768
G2400330801407,2010,801407,5883978,5770,Census Tract 8014.07,38.792036,-76.949994,5771,307,5182,15,139,0,9,119,537,68,51,13,4,0,346,55,6308
G2400330801408,2010,801408,2658398,0,Census Tract 8014.08,38.7998494,-76.9634017,3236,156,2941,17,30,3,7,82,175,27,41,0,4,0,77,26,3411
G2400330801409,2010,801409,2892666,1062,Census Tract 8014.09,38.7897293,-76.9819347,2399,167,1970,8,181,0,6,67,353,55,26,0,0,0,248,24,2752
G2400330801410,2010,801410,3030512,2681736,Census Tract 8014.10,38.7564194,-77.023794,3267,367,2357,10,450,1,5,77,252,84,26,0,1,0,123,18,3519
G2400330801411,2010,801411,3572011,4375,Census Tract 8014.11,38.7700748,-77.0011293,3044,251,2165,5,520,3,6,94,354,108,32,2,12,0,178,22,3398
G2400330801500,2010,801500,3956571,1031642,Census Tract 8015,38.8033492,-77.011977,2216,176,1882,7,91,3,12,45,290,126,12,1,1,0,131,19,2506
G2400330801600,2010,801600,546060,0,Census Tract 8016,38.8203439,-76.9964495,2614,26,2530,7,9,1,1,40,199,63,40,0,6,2,69,19,2813
G2400330801701,2010,801701,2167950,0,Census Tract 8017.01,38.8066469,-76.9437236,4008,204,3648,16,38,1,13,88,187,39,31,1,0,0,103,13,4195
G2400330801702,2010,801702,1379473,0,Census Tract 8017.02,38.8103712,-76.9586636,3463,123,3213,8,43,2,2,72,274,65,39,8,0,6,128,28,3737
G2400330801704,2010,801704,2345414,0,Census Tract 8017.04,38.8234424,-76.980742,5249,88,5036,2,23,0,7,93,218,55,47,1,0,0,99,16,5467
G2400330801706,2010,801706,1230121,0,Census Tract 8017.06,38.823162,-76.9603063,1433,72,1280,7,33,0,2,39,89,10,6,1,4,0,62,6,1522
G2400330801707,2010,801707,2078318,0,Census Tract 8017.07,38.8131082,-76.9848816,5492,110,5200,11,77,1,6,87,683,269,75,9,7,1,252,70,6175
G2400330801708,2010,801708,1742148,0,Census Tract 8017.08,38.8159239,-76.9647551,3193,150,2880,6,57,3,21,76,232,45,22,5,5,3,111,41,3425
G2400330801801,2010,801801,659918,0,Census Tract 8018.01,38.8291696,-76.9478967,1863,55,1755,9,14,1,1,28,103,19,19,0,0,0,53,12,1966
G2400330801802,2010,801802,1077134,0,Census Tract 8018.02,38.8348739,-76.9504605,3766,78,3610,9,21,0,3,45,89,21,26,0,0,0,21,21,3855
G2400330801804,2010,801804,800003,0,Census Tract 8018.04,38.8408839,-76.9580062,1856,67,1745,5,12,0,2,25,166,35,21,5,1,0,86,18,2022
G2400330801805,2010,801805,689391,0,Census Tract 8018.05,38.8463923,-76.9558363,2707,77,2560,10,13,0,8,39,56,9,12,0,0,1,24,10,2763
G2400330801807,2010,801807,2950811,8754,Census Tract 8018.07,38.8363897,-76.9708201,4578,75,4419,4,13,2,2,63,107,25,26,0,1,0,38,17,4685
G2400330801808,2010,801808,1173651,0,Census Tract 8018.08,38.8327451,-76.9625289,3512,64,3356,14,14,0,0,64,177,39,15,0,0,0,99,24,3689
G2400330801901,2010,801901,4419527,0,Census Tract 8019.01,38.8083643,-76.9269387,4589,539,3816,8,125,2,11,88,320,55,57,0,1,1,174,32,4909
G2400330801904,2010,801904,3798325,2892,Census Tract 8019.04,38.8123658,-76.9054437,2957,313,2485,11,52,4,3,89,448,106,44,14,1,0,266,17,3405
G2400330801905,2010,801905,4709067,32885,Census Tract 8019.05,38.8295949,-76.9070677,4428,410,3760,7,153,4,16,78,268,72,38,4,5,0,125,24,4696
G2400330801906,2010,801906,1884871,0,Census Tract 8019.06,38.8301619,-76.8882323,1743,314,1323,4,42,4,6,50,223,81,19,1,1,0,109,12,1966
G2400330801907,2010,801907,4114501,7028,Census Tract 8019.07,38.8269154,-76.9358548,3378,157,3100,11,50,1,1,58,150,45,28,1,0,1,56,19,3528
G2400330801908,2010,801908,1556586,0,Census Tract 8019.08,38.8445776,-76.9439886,3260,49,3123,9,12,0,9,58,103,33,28,0,0,0,26,16,3363
G2400330802001,2010,802001,1859966,0,Census Tract 8020.01,38.840151,-76.9194921,5304,106,5061,26,27,1,2,81,398,62,35,21,0,0,248,32,5702
G2400330802002,2010,802002,1896638,0,Census Tract 8020.02,38.8479163,-76.9150059,3534,79,3370,9,11,1,0,64,213,22,29,0,0,0,127,35,3747
G2400330802103,2010,802103,1887940,4110,Census Tract 8021.03,38.8487846,-76.8906618,2852,185,2524,4,53,0,15,71,227,33,23,0,0,0,135,36,3079
G2400330802104,2010,802104,1756090,0,Census Tract 8021.04,38.837435,-76.8791601,1897,105,1720,9,29,1,1,32,108,6,30,3,0,0,66,3,2005
G2400330802106,2010,802106,973653,0,Census Tract 8021.06,38.8404097,-76.8940291,4298,47,4163,8,9,0,12,59,210,33,38,0,0,0,115,24,4508
G2400330802107,2010,802107,973065,0,Census Tract 8021.07,38.842688,-76.9026684,3480,68,3333,8,18,2,2,49,80,27,23,0,0,1,14,15,3560
G2400330802201,2010,802201,6621433,12631,Census Tract 8022.01,38.8480017,-76.8539819,1804,281,1456,12,10,0,2,43,68,28,8,1,0,0,22,9,1872
